gene_id,xen_pep_id,xen_gene_symbol,xen_description
PECUL23A024321,ENSXETP00000107379,,
PECUL23A024322,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A024323,ENSXETP00000059916,,
PECUL23A024324,ENSXETP00000057734,hhex,hematopoietically expressed homeobox [Source:Xenbase;Acc:XB-GENE-487159]
PECUL23A024325,ENSXETP00000115803,,
PECUL23A024328,ENSXETP00000078304,stxbp5l,syntaxin binding protein 5L [Source:Xenbase;Acc:XB-GENE-6050074]
PECUL23A024329,ENSXETP00000065540,casz1,castor zinc finger 1 [Source:Xenbase;Acc:XB-GENE-957461]
PECUL23A024342,ENSXETP00000012247;ENSXETP00000098178,rfx1,regulatory factor X1 [Source:Xenbase;Acc:XB-GENE-994757]
PECUL23A024347,ENSXETP00000096012,plcg2,phospholipase C gamma 2 [Source:Xenbase;Acc:XB-GENE-952431]
PECUL23A024348,ENSXETP00000002104,dcaf6,DDB1 and CUL4 associated factor 6 [Source:Xenbase;Acc:XB-GENE-5738809]
PECUL23A024350,ENSXETP00000096997,mix1,Mix paired homeobox [Source:Xenbase;Acc:XB-GENE-485898]
PECUL23A024352,ENSXETP00000100734,ABCB4,ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]
PECUL23A024353,ENSXETP00000079872,,
PECUL23A024356,ENSXETP00000085454;ENSXETP00000092651,mms19,"MMS19 homolog, cytosolic iron-sulfur assembly component [Source:Xenbase;Acc:XB-GENE-979258]"
PECUL23A024358,ENSXETP00000103321;ENSXETP00000048317,olfm1,olfactomedin 1 [Source:Xenbase;Acc:XB-GENE-491791]
PECUL23A024360,ENSXETP00000114761,,
PECUL23A024361,ENSXETP00000113762,nr1d2,nuclear receptor subfamily 1 group D member 2 [Source:Xenbase;Acc:XB-GENE-478410]
PECUL23A024363,ENSXETP00000021923,fam102b,family with sequence similarity 102 member B [Source:Xenbase;Acc:XB-GENE-976236]
PECUL23A024369,ENSXETP00000063144,eci2,enoyl-CoA delta isomerase 2 [Source:Xenbase;Acc:XB-GENE-961246]
PECUL23A024374,ENSXETP00000051396,atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide [Source:Xenbase;Acc:XB-GENE-996131]"
PECUL23A024375,ENSXETP00000119160,,
PECUL23A024377,ENSXETP00000085089,gss,glutathione synthetase [Source:Xenbase;Acc:XB-GENE-976512]
PECUL23A024378,ENSXETP00000110873,,
PECUL23A024379,ENSXETP00000117299,XB5771954 [provisional:nnmt],provisional ortholog of nicotinamide N-methyltransferase [Source:Xenbase;Acc:XB-GENE-5771955]
PECUL23A024382,ENSXETP00000114252,bpi.4,"bactericidal permeability increasing protein, 4 [Source:Xenbase;Acc:XB-GENE-493665]"
PECUL23A024383,ENSXETP00000113463,,
PECUL23A024385,ENSXETP00000081550,polr1h,RNA polymerase I subunit H [Source:Xenbase;Acc:XB-GENE-5797380]
PECUL23A024389,ENSXETP00000075310,ncapd2,non-SMC condensin I complex subunit D2 [Source:Xenbase;Acc:XB-GENE-5854776]
PECUL23A024391,ENSXETP00000110152,XB5894820 [provisional],uncharacterized XB5894820 [Source:Xenbase;Acc:XB-GENE-5894821]
PECUL23A024402,ENSXETP00000053730,dars1,aspartyl-tRNA synthetase 1 [Source:Xenbase;Acc:XB-GENE-951509]
PECUL23A024403,ENSXETP00000110873,,
PECUL23A024406,ENSXETP00000106524,nim1k,NIM1 serine/threonine protein kinase [Source:Xenbase;Acc:XB-GENE-982757]
PECUL23A024409,ENSXETP00000073076,capn2,calpain 2 [Source:Xenbase;Acc:XB-GENE-993758]
PECUL23A024412,ENSXETP00000068072,XB5953480 [provisional],uncharacterized XB5953480 [Source:Xenbase;Acc:XB-GENE-5953481]
PECUL23A024421,ENSXETP00000102945,phc2,polyhomeotic homolog 2 [Source:Xenbase;Acc:XB-GENE-996998]
PECUL23A024422,ENSXETP00000009034,sowaha,sosondowah ankyrin repeat domain family member A [Source:Xenbase;Acc:XB-GENE-986451]
PECUL23A024424,ENSXETP00000037285,c1orf116,chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]
PECUL23A024425,ENSXETP00000100483,,
PECUL23A024426,ENSXETP00000112380,sertm1,serine-rich and transmembrane domain-containing 1 [Source:Xenbase;Acc:XB-GENE-12565261]
PECUL23A024434,ENSXETP00000067035,ubn2,ubinuclein 2 [Source:Xenbase;Acc:XB-GENE-6457243]
PECUL23A024435,ENSXETP00000075420,cdh23,cadherin-related 23 [Source:Xenbase;Acc:XB-GENE-957613]
PECUL23A024436,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A024437,ENSXETP00000110873,,
PECUL23A024438,ENSXETP00000066478,serpina3m,"serine (or cysteine) peptidase inhibitor, clade A, member 3M [Source:Xenbase;Acc:XB-GENE-6453454]"
PECUL23A024441,ENSXETP00000028696,trip13,thyroid hormone receptor interactor 13 [Source:Xenbase;Acc:XB-GENE-974898]
PECUL23A024442,ENSXETP00000091920,,
PECUL23A024446,ENSXETP00000061521,tnmd,tenomodulin [Source:Xenbase;Acc:XB-GENE-991486]
PECUL23A024451,ENSXETP00000025489,zeb1,zinc finger E-box binding homeobox 1 [Source:Xenbase;Acc:XB-GENE-484655]
PECUL23A024452,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A024460,ENSXETP00000103408,tyrobp,transmembrane immune signaling adaptor TYROBP [Source:Xenbase;Acc:XB-GENE-6489426]
PECUL23A024461,ENSXETP00000060365,slc25a21,"solute carrier family 25 (mitochondrial oxoadipate carrier), member 21 [Source:Xenbase;Acc:XB-GENE-943812]"
PECUL23A024462,ENSXETP00000082542,gria3,"glutamate receptor, ionotropic, AMPA 3 [Source:Xenbase;Acc:XB-GENE-1010483]"
PECUL23A024463,ENSXETP00000115735,clasrp,CLK4-associating serine/arginine rich protein [Source:Xenbase;Acc:XB-GENE-6458768]
PECUL23A024467,ENSXETP00000010091,cdc42ep4,CDC42 effector protein 4 [Source:Xenbase;Acc:XB-GENE-1016118]
PECUL23A024468,ENSXETP00000098011,,
PECUL23A024473,ENSXETP00000110873,,
PECUL23A024476,ENSXETP00000106234,znf143,zinc finger protein 143 [Source:Xenbase;Acc:XB-GENE-1012504]
PECUL23A024478,ENSXETP00000110208,ubap1l,ubiquitin associated protein 1 like [Source:Xenbase;Acc:XB-GENE-991465]
PECUL23A024486,ENSXETP00000117516,erg28,ergosterol biosynthesis 28 homolog [Source:Xenbase;Acc:XB-GENE-956432]
PECUL23A024487,ENSXETP00000115169,STAB1,stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]
PECUL23A024488,ENSXETP00000030438,drd1,dopamine receptor D1 [Source:Xenbase;Acc:XB-GENE-6035431]
PECUL23A024489,ENSXETP00000110873,,
PECUL23A024492,ENSXETP00000053956,XB5922676 [provisional:cav3],cytochrome b561 family member D2 [Source:Xenbase;Acc:XB-GENE-854864]
PECUL23A024495,ENSXETP00000106428,,
PECUL23A024497,ENSXETP00000115096,bc014685,cDNA sequence BC014685 [Source:Xenbase;Acc:XB-GENE-987352]
PECUL23A024500,ENSXETP00000017619,,
PECUL23A024508,ENSXETP00000009271,sirt4,sirtuin 4 [Source:Xenbase;Acc:XB-GENE-948981]
PECUL23A024509,ENSXETP00000109127,,
PECUL23A024510,ENSXETP00000116278,slc25a1,solute carrier family 25 member 1 [Source:Xenbase;Acc:XB-GENE-491686]
PECUL23A024512,ENSXETP00000097707,ipp,intracisternal A particle-promoted polypeptide [Source:Xenbase;Acc:XB-GENE-491275]
PECUL23A024513,ENSXETP00000079950,angpt2,angiopoietin 2 [Source:Xenbase;Acc:XB-GENE-487765]
PECUL23A024514,ENSXETP00000110009,srp9,signal recognition particle 9kDa [Source:NCBI gene (formerly Entrezgene);Acc:549540]
PECUL23A024515,ENSXETP00000105337,,
PECUL23A024521,ENSXETP00000022701,asb2,ankyrin repeat and SOCS box containing 2 [Source:Xenbase;Acc:XB-GENE-983015]
PECUL23A024522,ENSXETP00000109346,glp1r,glucagon like peptide 1 receptor [Source:Xenbase;Acc:XB-GENE-940017]
PECUL23A024524,ENSXETP00000102423,egr2,early growth response 2 (Krox-20 homolog) [Source:Xenbase;Acc:XB-GENE-853290]
PECUL23A024525,ENSXETP00000114555,,
PECUL23A024527,ENSXETP00000103365,,
PECUL23A024530,ENSXETP00000094033,dcaf1,DDB1 and CUL4 associated factor 1 [Source:Xenbase;Acc:XB-GENE-6050928]
PECUL23A024531,ENSXETP00000117866,,
PECUL23A024534,ENSXETP00000043621,znf300,BAG cochaperone 1 [Source:Xenbase;Acc:XB-GENE-957568]
PECUL23A024535,ENSXETP00000083828,xgb,x globin [Source:Xenbase;Acc:XB-GENE-5749914]
PECUL23A024536,ENSXETP00000018780,srpx,sushi repeat containing protein X-linked [Source:Xenbase;Acc:XB-GENE-492204]
PECUL23A024539,ENSXETP00000104952;ENSXETP00000000475,luc7l2,LUC7-like 2 pre-mRNA splicing factor [Source:Xenbase;Acc:XB-GENE-876728]
PECUL23A024540,ENSXETP00000115022,,
PECUL23A024541,ENSXETP00000099022,itpr1,"inositol 1,4,5-trisphosphate receptor type 1 [Source:Xenbase;Acc:XB-GENE-920765]"
PECUL23A024548,ENSXETP00000012107,boc,"BOC cell adhesion associated, onco regulated [Source:Xenbase;Acc:XB-GENE-923398]"
PECUL23A024550,ENSXETP00000010923,prkx,protein kinase X-linked [Source:Xenbase;Acc:XB-GENE-6046135]
PECUL23A024552,ENSXETP00000040199,ppm1f,"protein phosphatase, Mg2+/Mn2+ dependent 1F [Source:Xenbase;Acc:XB-GENE-948958]"
PECUL23A024554,ENSXETP00000035620,ndufa8,NADH:ubiquinone oxidoreductase subunit A8 [Source:Xenbase;Acc:XB-GENE-979564]
PECUL23A024556,ENSXETP00000037053,osgep,O-sialoglycoprotein endopeptidase [Source:Xenbase;Acc:XB-GENE-942945]
PECUL23A024559,ENSXETP00000013625,exoc3,exocyst complex component 3 [Source:Xenbase;Acc:XB-GENE-972389]
PECUL23A024560,ENSXETP00000068371,vtn,vitronectin [Source:Xenbase;Acc:XB-GENE-989489]
PECUL23A024561,ENSXETP00000110256,,
PECUL23A024562,ENSXETP00000002104,dcaf6,DDB1 and CUL4 associated factor 6 [Source:Xenbase;Acc:XB-GENE-5738809]
PECUL23A024563,ENSXETP00000027596,acox1,"acyl-CoA oxidase 1, palmitoyl [Source:Xenbase;Acc:XB-GENE-1008078]"
PECUL23A024564,ENSXETP00000013281,,
PECUL23A024569,ENSXETP00000069363,chek2,checkpoint kinase 2 [Source:Xenbase;Acc:XB-GENE-5765421]
PECUL23A024573,ENSXETP00000066486,arhgap45,Rho GTPase activating protein 45 [Source:Xenbase;Acc:XB-GENE-990078]
PECUL23A024574,ENSXETP00000044973,zfp160,zinc finger protein 160 [Source:Xenbase;Acc:XB-GENE-5962136]
PECUL23A024575,ENSXETP00000102105,,
PECUL23A024577,ENSXETP00000087603,foxh1,forkhead box H1 [Source:Xenbase;Acc:XB-GENE-1194372]
PECUL23A024578,ENSXETP00000094319,grxcr1,"glutaredoxin, cysteine rich 1 [Source:Xenbase;Acc:XB-GENE-6042490]"
PECUL23A024582,ENSXETP00000007579,KCNF1,potassium voltage-gated channel modifier subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:6246]
PECUL23A024584,ENSXETP00000076232,wdr59,WD repeat domain 59 [Source:Xenbase;Acc:XB-GENE-975930]
PECUL23A024585,ENSXETP00000117753,,
PECUL23A024586,ENSXETP00000107174,,
PECUL23A024588,ENSXETP00000109231,stk17a,serine/threonine kinase 17a [Source:Xenbase;Acc:XB-GENE-5757566]
PECUL23A024591,ENSXETP00000003016,frs2,fibroblast growth factor receptor substrate 2 [Source:Xenbase;Acc:XB-GENE-479760]
PECUL23A024594,ENSXETP00000007333,,
PECUL23A024595,ENSXETP00000023271,tmem143,transmembrane protein 143 [Source:Xenbase;Acc:XB-GENE-6044161]
PECUL23A024596,ENSXETP00000099028,,
PECUL23A024597,ENSXETP00000062330,sarm1,sterile alpha and TIR motif containing 1 [Source:Xenbase;Acc:XB-GENE-6033913]
PECUL23A024598,ENSXETP00000048372,smad4,"SMAD family member 4, 1 [Source:Xenbase;Acc:XB-GENE-485691]"
PECUL23A024600,ENSXETP00000014290,prickle2,prickle planar cell polarity protein 2 [Source:Xenbase;Acc:XB-GENE-482891]
PECUL23A024602,ENSXETP00000058399,,
PECUL23A024606,ENSXETP00000079935,mtf2,metal response element binding transcription factor 2 [Source:Xenbase;Acc:XB-GENE-1014957]
PECUL23A024610,ENSXETP00000012378,ogdhl,oxoglutarate dehydrogenase like [Source:Xenbase;Acc:XB-GENE-984152]
PECUL23A024613,ENSXETP00000076940,exosc4,exosome component 4 [Source:Xenbase;Acc:XB-GENE-969649]
PECUL23A024620,ENSXETP00000011069;ENSXETP00000011070,hexb,hexosaminidase B (beta polypeptide) [Source:Xenbase;Acc:XB-GENE-1002397]
PECUL23A024621,ENSXETP00000103365,,
PECUL23A024626,ENSXETP00000014376,mier2,"mesoderm induction early response 1, family member 2 [Source:Xenbase;Acc:XB-GENE-5861536]"
PECUL23A024631,ENSXETP00000108331,senp8,"SUMO peptidase family member, NEDD8 specific [Source:Xenbase;Acc:XB-GENE-959844]"
PECUL23A024632,ENSXETP00000071357,cacna1i,"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:Xenbase;Acc:XB-GENE-983863]"
PECUL23A024634,ENSXETP00000040039,gucy1a2,"guanylate cyclase 1, soluble, alpha 2 [Source:Xenbase;Acc:XB-GENE-1011801]"
PECUL23A024636,ENSXETP00000100751,,
PECUL23A024638,ENSXETP00000008539,hepacam,hepatic and glial cell adhesion molecule [Source:Xenbase;Acc:XB-GENE-6051119]
PECUL23A024639,ENSXETP00000022617,prdm6,PR domain 6 [Source:Xenbase;Acc:XB-GENE-854907]
PECUL23A024645,ENSXETP00000110139,atp5mc1,ATP synthase membrane subunit c locus 1 [Source:Xenbase;Acc:XB-GENE-5907814]
PECUL23A024650,ENSXETP00000102973,afmid,arylformamidase [Source:Xenbase;Acc:XB-GENE-5885603]
PECUL23A024652,ENSXETP00000050713,ipo5,importin 5 [Source:Xenbase;Acc:XB-GENE-491443]
PECUL23A024653,ENSXETP00000104410,,
PECUL23A024654,ENSXETP00000086708,ppl,periplakin [Source:Xenbase;Acc:XB-GENE-1008954]
PECUL23A024663,ENSXETP00000051348,atrnl1,attractin like 1 [Source:Xenbase;Acc:XB-GENE-6033278]
PECUL23A024666,ENSXETP00000113760,rab11fip2,RAB11 family interacting protein 2 (class I) [Source:Xenbase;Acc:XB-GENE-5947669]
PECUL23A024672,ENSXETP00000067632,ipo7,importin 7 [Source:Xenbase;Acc:XB-GENE-919773]
PECUL23A024673,ENSXETP00000018184,,
PECUL23A024675,ENSXETP00000109127,,
PECUL23A024677,ENSXETP00000118998,rdh11,retinol dehydrogenase 11 [Source:Xenbase;Acc:XB-GENE-5943090]
PECUL23A024679,ENSXETP00000106477,,
PECUL23A024682,ENSXETP00000048471,CTSO,cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]
PECUL23A024688,ENSXETP00000089602;ENSXETP00000086787,plk2,polo-like kinase 2 [Source:Xenbase;Acc:XB-GENE-1006205]
PECUL23A024689,ENSXETP00000104010,,
PECUL23A024692,ENSXETP00000079114,epx,eosinophil peroxidase [Source:Xenbase;Acc:XB-GENE-6039946]
PECUL23A024693,ENSXETP00000068931,zswim8,zinc finger SWIM-type containing 8 [Source:Xenbase;Acc:XB-GENE-1217722]
PECUL23A024697,ENSXETP00000106516,zhx3,zinc fingers and homeoboxes 3 [Source:Xenbase;Acc:XB-GENE-853511]
PECUL23A024698,ENSXETP00000106123,desi2,desumoylating isopeptidase 2 [Source:Xenbase;Acc:XB-GENE-1014046]
PECUL23A024699,ENSXETP00000039314,irak1bp1,interleukin 1 receptor associated kinase 1 binding protein 1 [Source:Xenbase;Acc:XB-GENE-960907]
PECUL23A024706,ENSXETP00000071347,zfyve26,zinc finger FYVE-type containing 26 [Source:Xenbase;Acc:XB-GENE-1005056]
PECUL23A024709,ENSXETP00000086326,tubgcp5,tubulin gamma complex associated protein 5 [Source:Xenbase;Acc:XB-GENE-494053]
PECUL23A024711,ENSXETP00000083704,hspa12b,heat shock protein family A (Hsp70) member 12B [Source:Xenbase;Acc:XB-GENE-1003961]
PECUL23A024712,ENSXETP00000113754,aip,aryl hydrocarbon receptor interacting protein [Source:Xenbase;Acc:XB-GENE-947114]
PECUL23A024714,ENSXETP00000024422,arf1,ADP ribosylation factor 1 [Source:Xenbase;Acc:XB-GENE-950251]
PECUL23A024716,ENSXETP00000061528,il1r2,"interleukin 1 receptor, type 2 [Source:Xenbase;Acc:XB-GENE-481459]"
PECUL23A024717,ENSXETP00000102118,,
PECUL23A024719,ENSXETP00000036344,mettl9,methyltransferase like 9 [Source:Xenbase;Acc:XB-GENE-5749473]
PECUL23A024723,ENSXETP00000063690,pmt [provisional],phosphoethanolamine methyltransferase [Source:Xenbase;Acc:XB-GENE-5904605]
PECUL23A024725,ENSXETP00000050838,cndp2,CNDP dipeptidase 2 (metallopeptidase M20 family) [Source:Xenbase;Acc:XB-GENE-962326]
PECUL23A024727,ENSXETP00000002164,tll1,tolloid like 1 [Source:Xenbase;Acc:XB-GENE-479941]
PECUL23A024728,ENSXETP00000084967,ror1,receptor tyrosine kinase-like orphan receptor 1 [Source:Xenbase;Acc:XB-GENE-490892]
PECUL23A024729,ENSXETP00000087335,cog5,component of oligomeric golgi complex 5 [Source:Xenbase;Acc:XB-GENE-950363]
PECUL23A024731,ENSXETP00000015967,tusc2,"tumor suppressor 2, mitochondrial calcium regulator [Source:Xenbase;Acc:XB-GENE-1217571]"
PECUL23A024734,ENSXETP00000079095,,
PECUL23A024735,ENSXETP00000073362,tomm6,translocase of outer mitochondrial membrane 6 [Source:Xenbase;Acc:XB-GENE-13579868]
PECUL23A024737,ENSXETP00000105337,,
PECUL23A024741,ENSXETP00000023105,bmp1,bone morphotic protein 1 [Source:Xenbase;Acc:XB-GENE-479191]
PECUL23A024743,ENSXETP00000086847,ikbkb,"inhibitor of kappa light polypeptide enhancer in B-cells, kinase beta [Source:Xenbase;Acc:XB-GENE-949877]"
PECUL23A024745,ENSXETP00000093770,vwa8,von Willebrand factor A domain containing 8 [Source:Xenbase;Acc:XB-GENE-5820566]
PECUL23A024747,ENSXETP00000008071,aldh8a1,aldehyde dehydrogenase 8 family member A1 [Source:Xenbase;Acc:XB-GENE-479741]
PECUL23A024752,ENSXETP00000115636,,
PECUL23A024757,ENSXETP00000033842,map3k1,mitogen-activated protein kinase kinase kinase 1 [Source:Xenbase;Acc:XB-GENE-1008434]
PECUL23A024759,ENSXETP00000039863,rspry1,ring finger and SPRY domain containing 1 [Source:Xenbase;Acc:XB-GENE-1002344]
PECUL23A024760,ENSXETP00000118919,,
PECUL23A024762,,,
PECUL23A024763,ENSXETP00000051391,pgam5,"PGAM family member 5, serine/threonine protein phosphatase, mitochondrial [Source:Xenbase;Acc:XB-GENE-948920]"
PECUL23A024766,ENSXETP00000108638;ENSXETP00000003574,adora1,adenosine A1 receptor [Source:NCBI gene (formerly Entrezgene);Acc:100127730]
PECUL23A024768,ENSXETP00000007213,,
PECUL23A024770,ENSXETP00000103365,,
PECUL23A024776,ENSXETP00000103603,haus8,HAUS augmin like complex subunit 8 [Source:Xenbase;Acc:XB-GENE-5797183]
PECUL23A024777,ENSXETP00000119071,,
PECUL23A024782,ENSXETP00000003678,hes4,hes family bHLH transcription factor 4 [Source:Xenbase;Acc:XB-GENE-487830]
PECUL23A024783,,,
PECUL23A024784,ENSXETP00000018590,kif15,kinesin family member 15 [Source:Xenbase;Acc:XB-GENE-1005654]
PECUL23A024792,ENSXETP00000004955,lars1,leucyl-tRNA synthetase 1 [Source:Xenbase;Acc:XB-GENE-972511]
PECUL23A024794,ENSXETP00000035978,fan1,FANCD2/FANCI-associated nuclease 1 [Source:Xenbase;Acc:XB-GENE-1011796]
PECUL23A024795,ENSXETP00000106232,dsel,dermatan sulfate epimerase like [Source:Xenbase;Acc:XB-GENE-993490]
PECUL23A024796,ENSXETP00000097565,larp4b,La ribonucleoprotein domain family member 4B [Source:Xenbase;Acc:XB-GENE-966333]
PECUL23A024800,ENSXETP00000060175,tuft1,tuftelin 1 [Source:Xenbase;Acc:XB-GENE-853879]
PECUL23A024803,ENSXETP00000042103,mettl16,"methyltransferase 16, N6-methyladenosine [Source:Xenbase;Acc:XB-GENE-952802]"
PECUL23A024806,ENSXETP00000044973,zfp160,zinc finger protein 160 [Source:Xenbase;Acc:XB-GENE-5962136]
PECUL23A024810,ENSXETP00000039087,ift27,intraflagellar transport 27 [Source:Xenbase;Acc:XB-GENE-1001555]
PECUL23A024811,ENSXETP00000114412,cul1,cullin 1 [Source:Xenbase;Acc:XB-GENE-945766]
PECUL23A024812,ENSXETP00000115608,odad4,outer dynein arm docking complex subunit 4 [Source:Xenbase;Acc:XB-GENE-5960304]
PECUL23A024813,ENSXETP00000105304,zdhhc24,"zinc finger, DHHC-type containing 24 [Source:Xenbase;Acc:XB-GENE-1013799]"
PECUL23A024814,ENSXETP00000103365,,
PECUL23A024817,ENSXETP00000117371,,
PECUL23A024818,ENSXETP00000061934,,
PECUL23A024819,ENSXETP00000097788,,
PECUL23A024820,ENSXETP00000043628,tmem204,transmembrane protein 204 [Source:Xenbase;Acc:XB-GENE-6258710]
PECUL23A024822,ENSXETP00000118375,,
PECUL23A024824,ENSXETP00000109195,hdhd2,haloacid dehalogenase like hydrolase domain containing 2 [Source:Xenbase;Acc:XB-GENE-977915]
PECUL23A024825,ENSXETP00000041779,dnpep,aspartyl aminopeptidase [Source:Xenbase;Acc:XB-GENE-965159]
PECUL23A024834,ENSXETP00000107734,tor4a,"torsin family 4, member A [Source:Xenbase;Acc:XB-GENE-975360]"
PECUL23A024836,ENSXETP00000044306,slc26a2.2,"solute carrier family 26 (sulfate transporter), member 2, 2 [Source:Xenbase;Acc:XB-GENE-1214887]"
PECUL23A024838,ENSXETP00000031671,fgf8,fibroblast growth factor 8 [Source:Xenbase;Acc:XB-GENE-480983]
PECUL23A024839,ENSXETP00000034895,ccdc32,coiled-coil domain containing 32 [Source:Xenbase;Acc:XB-GENE-969348]
PECUL23A024840,ENSXETP00000063723,rab1a,"RAB1A, member RAS onco family [Source:Xenbase;Acc:XB-GENE-485527]"
PECUL23A024843,ENSXETP00000064499,hsp90aa1.1,heat shock protein 90kDa alpha family class A member 1 [Source:Xenbase;Acc:XB-GENE-495303]
PECUL23A024844,ENSXETP00000051717,,
PECUL23A024846,ENSXETP00000112637,,
PECUL23A024851,ENSXETP00000014378,cemip2,cell migration inducing hyaluronidase 2 [Source:Xenbase;Acc:XB-GENE-953064]
PECUL23A024852,ENSXETP00000063832,stk25,THAP domain containing 4 [Source:Xenbase;Acc:XB-GENE-967122]
PECUL23A024853,ENSXETP00000015128,stard4,StAR related lipid transfer domain containing 4 [Source:Xenbase;Acc:XB-GENE-5944117]
PECUL23A024854,ENSXETP00000026796,pde2a,phosphodiesterase 2A [Source:Xenbase;Acc:XB-GENE-5945995]
PECUL23A024855,ENSXETP00000076160,ppp2r3c,"protein phosphatase 2 regulatory subunit B', gamma [Source:Xenbase;Acc:XB-GENE-1002945]"
PECUL23A024856,ENSXETP00000114554,,
PECUL23A024861,ENSXETP00000008862,smg9,SMG9 nonsense mediated mRNA decay factor [Source:Xenbase;Acc:XB-GENE-990837]
PECUL23A024862,ENSXETP00000114479,foxf2,forkhead box F2 [Source:Xenbase;Acc:XB-GENE-484646]
PECUL23A024866,ENSXETP00000068842;ENSXETP00000011957,slc12a5,solute carrier family 12 member 5 [Source:Xenbase;Acc:XB-GENE-483436]
PECUL23A024870,ENSXETP00000107408,rab36,"RAB36, member RAS onco family [Source:Xenbase;Acc:XB-GENE-490801]"
PECUL23A024872,ENSXETP00000102445,cnbp,CCHC-type zinc finger nucleic acid binding protein [Source:Xenbase;Acc:XB-GENE-919590]
PECUL23A024875,ENSXETP00000087377,map1a,microtubule associated protein 1A [Source:Xenbase;Acc:XB-GENE-999071]
PECUL23A024876,ENSXETP00000058431,,
PECUL23A024878,ENSXETP00000099375,,
PECUL23A024879,,,
PECUL23A024880,ENSXETP00000015147,,
PECUL23A024881,ENSXETP00000007104,,
PECUL23A024885,ENSXETP00000000603,ganc,"glucosidase, alpha; neutral C [Source:Xenbase;Acc:XB-GENE-5928423]"
PECUL23A024886,ENSXETP00000080592,polr2m,RNA polymerase II subunit M [Source:Xenbase;Acc:XB-GENE-22068945]
PECUL23A024887,ENSXETP00000047377,rab11b.2,"RAB11B, member RAS onco family, 2 [Source:Xenbase;Acc:XB-GENE-5963250]"
PECUL23A024892,ENSXETP00000035260,gata2,GATA binding protein 2 [Source:Xenbase;Acc:XB-GENE-478165]
PECUL23A024897,ENSXETP00000090254,arhgap18,Rho GTPase activating protein 18 [Source:Xenbase;Acc:XB-GENE-988160]
PECUL23A024899,ENSXETP00000118947,,
PECUL23A024900,ENSXETP00000074055,syt5,synaptotagmin 5 [Source:Xenbase;Acc:XB-GENE-991349]
PECUL23A024901,ENSXETP00000097086,,
PECUL23A024903,ENSXETP00000084025,rufy1,RUN and FYVE domain containing 1 [Source:Xenbase;Acc:XB-GENE-990606]
PECUL23A024906,ENSXETP00000106188,prkca,"protein kinase C, alpha [Source:Xenbase;Acc:XB-GENE-5942870]"
PECUL23A024913,ENSXETP00000015099,st7l,suppression of tumorigenicity 7 like [Source:Xenbase;Acc:XB-GENE-941418]
PECUL23A024915,ENSXETP00000102397,ppp1r1c,protein phosphatase 1 regulatory inhibitor subunit 1C [Source:Xenbase;Acc:XB-GENE-960088]
PECUL23A024919,ENSXETP00000040787,ubp1,upstream binding protein 1 [Source:Xenbase;Acc:XB-GENE-958759]
PECUL23A024921,ENSXETP00000105756,wwox,WW domain containing oxidoreductase [Source:Xenbase;Acc:XB-GENE-5721345]
PECUL23A024927,ENSXETP00000042738,slc13a5,solute carrier family 13 member 5 [Source:Xenbase;Acc:XB-GENE-983513]
PECUL23A024928,ENSXETP00000084056,rasa4,RAS p21 protein activator 4 [Source:Xenbase;Acc:XB-GENE-487134]
PECUL23A024929,ENSXETP00000062587,fsip1,fibrous sheath interacting protein 1 [Source:Xenbase;Acc:XB-GENE-6458325]
PECUL23A024930,ENSXETP00000110298,,
PECUL23A024931,ENSXETP00000100483,,
PECUL23A024935,ENSXETP00000060421,itpk1,inositol-tetrakisphosphate 1-kinase [Source:Xenbase;Acc:XB-GENE-950616]
PECUL23A024936,ENSXETP00000102519,,
PECUL23A024937,ENSXETP00000094319,grxcr1,"glutaredoxin, cysteine rich 1 [Source:Xenbase;Acc:XB-GENE-6042490]"
PECUL23A024939,ENSXETP00000078964,kif18a,kinesin family member 18A [Source:Xenbase;Acc:XB-GENE-990470]
PECUL23A024940,ENSXETP00000009395,stard7,StAR related lipid transfer domain containing 7 [Source:Xenbase;Acc:XB-GENE-981983]
PECUL23A024942,ENSXETP00000071349,,
PECUL23A024944,ENSXETP00000061821,dhdh,dihydrodiol dehydrogenase (dimeric) [Source:Xenbase;Acc:XB-GENE-5788276]
PECUL23A024946,ENSXETP00000106965,,
PECUL23A024951,ENSXETP00000072673,fads2,fatty acid desaturase 2 [Source:Xenbase;Acc:XB-GENE-1010230]
PECUL23A024955,ENSXETP00000077137,trerf1,transcriptional regulating factor 1 [Source:Xenbase;Acc:XB-GENE-940630]
